district,flooded_km2,pop_affected,total_area_km2,flood_fraction,pop_density,idx_exposure,idx_vulnerability,idx_severity,flood_risk_index,risk_class,fri_rounded
Marigaon,352.41681938063414,22466,1553.6202421062778,0.22683588294579296,14.460419213862933,0.9999999955872085,0.9999999999308457,0.9999999999971537,0.9999999982099678,Critical,1.0
Dhuburi,233.30322615300804,18720,2826.4375991354805,0.08254320782612298,6.623178238828222,0.3632665023352493,0.4580211777000686,0.6609610644963965,0.4708542792532229,Moderate,0.471
Nagaon,337.46033815077584,11123,3989.932932720382,0.08457794750968195,2.7877661573665127,0.37224538435747523,0.19278598468992847,0.957428624744307,0.4557304045705418,Moderate,0.456
Barpeta,281.7480242326925,13524,3247.658501077811,0.08675420280155315,4.164230936076483,0.3818487452560931,0.2879744268960293,0.7988518990050809,0.4532435222673178,Moderate,0.453
Karimganj,141.9777790485182,16599,1852.6839656773757,0.07663356604730395,8.959434154724331,0.33718848520392647,0.619583292959827,0.40101690924564465,0.45198377392892114,Moderate,0.452
Cachar,168.33053676295307,19677,3798.222844994613,0.04431823608896013,5.180580709194252,0.19458767117853737,0.3582593721674035,0.476026072187588,0.32223236677690315,Moderate,0.322
Kamrup,196.3292577458421,8671,4340.390325766008,0.04523308804288085,1.9977465963201617,0.19862472212339793,0.13815274416572978,0.5557202221179066,0.26673340483684127,Low,0.267
Goalpara,108.73596587744028,2915,1900.9632154460435,0.05720045763848534,1.5334331439527735,0.2514342291987004,0.10604347779742489,0.3063990856518267,0.21428868032153556,Low,0.214
Dibrugarh,162.1231507424833,456,3391.839749671896,0.047797998345342235,0.1344403137100184,0.2099431365571847,0.009297124219734646,0.4583576811031165,0.20182066837556012,Low,0.202
Sonitpur,164.99743514551838,1107,4667.874702877626,0.0353474430330792,0.23715289515324023,0.15500143164853908,0.01640013969370169,0.46653889953440997,0.18437534643581371,Low,0.184
Darrang,128.83713975821695,2278,3420.785769969401,0.03766302493691951,0.6659288693253588,0.16521961183904738,0.046051837047773374,0.36361405507878813,0.17310950147203666,Low,0.173
Bongaigaon,72.34438294608114,2335,2328.2892410682416,0.03107190535866963,1.0028822703010385,0.1361343752529227,0.06935360969827489,0.20281591597397733,0.12943149248905964,Low,0.129
Nalbari,58.59141987944174,3591,2335.63168567111,0.025085898705217446,1.537485564196813,0.10971937585034738,0.10632372003548353,0.16367017423496308,0.12201859591129896,Low,0.122
Hailakandi,36.835375899054675,2473,1333.5318385605015,0.02762241952829346,1.8544739079267223,0.1209125134302283,0.128244823360351,0.10174486586379952,0.11868691001416404,Low,0.119
Dhemaji,67.42809934268193,135,2499.3096540601455,0.026978689588600807,0.05401491559106795,0.11807186741079982,0.003735363047811885,0.1888224538144485,0.09574173748466622,Low,0.096
Golaghat,66.43381376122123,167,3525.79385452296,0.018842228588038006,0.04736521954786693,0.08216736129986944,0.0032755080502218964,0.18599236938841676,0.08051146468462964,Low,0.081
Tinsukia,53.55083221743129,236,3793.0456435798533,0.01411816182810032,0.06221913000162704,0.06132103955889466,0.004302719656818525,0.14932289926055728,0.06336509251858367,Low,0.063
Sibsagar,38.03080319282292,418,2633.5134633226135,0.014441089336540078,0.15872331993800545,0.0627460513299043,0.0109763982343516,0.10514746993412771,0.05522702739751671,Low,0.055
Jorhat,41.83376247034127,67,2837.6912914107384,0.01474218234977347,0.02361074307229925,0.06407471202561082,0.0016327841345036033,0.11597202177800164,0.055194364701821,Low,0.055
Lakhimpur,33.34428580417835,67,2881.6047568565737,0.011571429331117666,0.023250933300473724,0.050082839990987456,0.0016079017457927905,0.09180800276168305,0.04354790229784322,Low,0.044
Karbi Anglong,15.732791620556343,30,10426.521823465353,0.001508920413435379,0.0028772778216877327,0.0056790859631337485,0.0001989761001347986,0.04167953229246941,0.012761159093418031,Low,0.013
Kokrajhar,8.203740331859157,5,3323.239902395221,0.0024685970838115904,0.0015045558391364572,0.009913939036682142,0.00010404648833347938,0.020249219722077886,0.009064296816109046,Low,0.009
North Cachar Hills,1.089639063254204,0,4909.1583958994925,0.00022196046152520856,0.0,0.0,0.0,0.0,0.0,Low,0.0
