sample_id,split,sample_date,start_day,sample_lon,sample_lat,source_file,record_index,GEOID,NAMELSAD,ALAND,AWATER,point_x_3310,point_y_3310,tract_match_method,tract_nearest_dist_m,acs_population,acs_housing_units,acs_median_home_value,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,tract_area_km2,exposure_pop_density_km2,exposure_housing_density_km2,road_nearest_dist_m,road_nearest_route_id,road_nearest_f_system,past_fire_count_5y_10km,past_fire_acres_5y_10km,days_since_fire_min_5y_10km,vulnerability_index
eval_eval_ndws64_meta_000.tfrecord_00000000,eval,2020-07-11,192.0,-118.752792,34.347084,eval_ndws64_meta_000.tfrecord.gz,0,06111008502,Census Tract 85.02,45683554.0,27106.0,114713.18074077852,-406905.8482485791,intersects,0.0,3346,1368,708200,0.2929,0.2745,0.421,0.0426,0.4019,45.683554,73.24298805648965,29.945130801338266,31.135411643670608,VEN_CO_TRIPPS CANYON RD_P,7,12,7939.59021576,255.0,0.2929
eval_eval_ndws64_meta_000.tfrecord_00000001,eval,2020-07-14,195.0,-120.531456,36.152699,eval_ndws64_meta_000.tfrecord.gz,1,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47758.36825926666,-207015.47518608533,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1832.461784059554,STREET-UNNAMED_124786_P,7,13,41643.18946,1.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000002,eval,2020-07-14,195.0,-120.522469,36.152699,eval_ndws64_meta_000.tfrecord.gz,2,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46950.77539480432,-207019.96397565864,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1315.4039291190861,STREET-UNNAMED_124786_P,7,14,41675.148460000004,1.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000003,eval,2020-07-14,195.0,-120.558403,36.143715,eval_ndws64_meta_000.tfrecord.gz,3,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50185.76577904684,-207999.8141502277,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,224.5767093820178,FRE_CO_COALINGA MINERAL SPRINGS RD_P,7,12,41490.28396,1.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000004,eval,2020-07-14,195.0,-120.531456,36.125748,eval_ndws64_meta_000.tfrecord.gz,4,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47775.155169007536,-210010.1267694556,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,520.7298668944237,FRE_CO_COALINGA MINERAL SPRINGS RD_P,7,11,41149.03946,1.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000005,eval,2020-07-15,196.0,-120.594337,36.206596,eval_ndws64_meta_000.tfrecord.gz,5,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53371.4462917033,-200993.0782576874,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,473.08333505127564,FRE_CO_BEAR CANYON RD_P,7,10,38924.5862,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000006,eval,2020-07-15,196.0,-120.522469,36.107784,eval_ndws64_meta_000.tfrecord.gz,6,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46978.278297623765,-212010.6588662858,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,64.72955909932999,FRE_CO_COALINGA MINERAL SPRINGS RD_P,7,11,52369.130860000005,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000007,eval,2020-07-15,196.0,-120.540436,36.206596,eval_ndws64_meta_000.tfrecord.gz,7,06019007903,Census Tract 79.03,1823994219.0,976972.0,-48531.19301110921,-201022.04534723377,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,208.89030659852492,STREET-UNNAMED_124099_P,7,8,38725.2476,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000008,eval,2020-07-15,196.0,-120.57637,36.188633,eval_ndws64_meta_000.tfrecord.gz,8,06019007903,Census Tract 79.03,1823994219.0,976972.0,-51770.16485472551,-202999.0464104009,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,195.1180085678119,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000009,eval,2020-07-15,196.0,-120.495522,36.107784,eval_ndws64_meta_000.tfrecord.gz,9,06019007903,Census Tract 79.03,1823994219.0,976972.0,-44555.33679332867,-212023.6669593542,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,899.4146293396323,STREET-UNNAMED_101886_P,7,10,52202.69086,2.0,0.6893
