sample_id,split,output_split,sample_date,sample_lon,sample_lat,GEOID,hazard_index,exposure_index,vulnerability_index,risk_score,risk_hev_product,risk_tier,hazard_prob_mean,hazard_prob_p95,hazard_prob_max,hazard_pred_fire_frac,acs_population,acs_housing_units,asset_value_usd,expected_property_loss_usd_weighted,expected_property_loss_usd_hev,expected_population_affected,expected_housing_units_affected,exposure_pop_density_km2,exposure_housing_density_km2,acs_median_home_value,road_nearest_dist_m,svi_rpl_themes
eval_eval_ndws64_meta_000.tfrecord_00000000,eval,validation,2020-07-11,-118.752792,34.347084,06111008502,0.0615909993648529,0.5451428709728411,0.2929,0.2529183609742788,0.009834379416991822,moderate,0.0615909993648529,0.2856978178024292,0.6848995089530945,0.028564453125,3346.0,1368.0,968817600.0,245031759.47503442,9527719.864259416,846.2648358199368,345.9923178128134,73.24298805648965,29.945130801338266,708200.0,31.135411643670608,0.2929
eval_eval_ndws64_meta_000.tfrecord_00000001,eval,validation,2020-07-14,-120.531456,36.152699,06019007903,0.1191314309835434,0.28450450969416485,0.6893,0.28277706840002115,0.023362740858631912,high,0.1191314309835434,0.3979098498821258,0.7228439450263977,0.033203125,6112.0,1069.0,213800000.0,60457737.223924525,4994953.9955755025,1728.3334420609292,302.2886861196226,3.350887813312746,0.5860764189187379,200000.0,1832.461784059554,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000002,eval,validation,2020-07-14,-120.522469,36.152699,06019007903,0.1188708543777465,0.28453985755862704,0.6893,0.2826573844564614,0.023314535773855477,high,0.1188708543777465,0.3859452605247497,0.7140148878097534,0.031494140625,6112.0,1069.0,213800000.0,60432148.79679144,4984647.748450301,1727.601933797892,302.1607439839572,3.350887813312746,0.5860764189187379,200000.0,1315.403929119086,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000003,eval,validation,2020-07-14,-120.558403,36.143715,06019007903,0.1196577548980712,0.2851459761600752,0.6893,0.2832326702970582,0.023518865905490266,high,0.1196577548980712,0.424304187297821,0.7372015118598938,0.038330078125,6112.0,1069.0,213800000.0,60555144.90951104,5028333.530593819,1731.1180808556196,302.77572454755517,3.350887813312746,0.5860764189187379,200000.0,224.5767093820178,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000004,eval,validation,2020-07-14,-120.531456,36.125748,06019007903,0.1174690350890159,0.2847307722026901,0.6893,0.28201374920531497,0.023055050924502718,high,0.1174690350890159,0.401356428861618,0.7009434103965759,0.03466796875,6112.0,1069.0,213800000.0,60294539.58009634,4929169.887658681,1723.6680351428852,301.4726979004817,3.350887813312746,0.5860764189187379,200000.0,520.7298668944237,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000005,eval,validation,2020-07-15,-120.594337,36.206596,06019007903,0.0912957340478897,0.2847625567462219,0.6893,0.26893663404781143,0.017920150262121872,high,0.0912957340478897,0.3693960309028625,0.7160928249359131,0.034423828125,6112.0,1069.0,213800000.0,57498652.35942208,3831328.1260416564,1643.7407073002234,287.4932617971104,3.350887813312746,0.5860764189187379,200000.0,473.0833350512757,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000006,eval,validation,2020-07-15,-120.522469,36.107784,06019007903,0.0807567685842514,0.2869248084115682,0.6893,0.2643158268155962,0.015971853259994062,moderate,0.0807567685842514,0.2809707224369049,0.6497930288314819,0.020751953125,6112.0,1069.0,213800000.0,56510723.773174465,3414782.2269867305,1615.4983334969238,282.5536188658723,3.350887813312746,0.5860764189187379,200000.0,64.72955909932999,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000007,eval,validation,2020-07-15,-120.540436,36.206596,06019007903,0.0896886214613914,0.2852006427264066,0.6893,0.26826450354861764,0.017631778738623382,high,0.0896886214613914,0.3441528379917145,0.7000536322593689,0.02734375,6112.0,1069.0,213800000.0,57354950.85869445,3769674.294317679,1639.632645689151,286.77475429347226,3.350887813312746,0.5860764189187379,200000.0,208.8903065985249,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000008,eval,validation,2020-07-15,-120.57637,36.188633,06019007903,0.0886701196432113,0.2852558481349937,0.6893,0.2677718142621038,0.01743492685718023,high,0.0886701196432113,0.3479896187782287,0.7174565196037292,0.031494140625,6112.0,1069.0,213800000.0,57249613.88923779,3727587.362065133,1636.6213287699784,286.24806944618894,3.350887813312746,0.5860764189187379,200000.0,195.1180085678119,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000009,eval,validation,2020-07-15,-120.495522,36.107784,06019007903,0.0787589699029922,0.2845977651525482,0.6893,0.26261881449726054,0.015450402267100712,moderate,0.0787589699029922,0.2604166865348816,0.6165601015090942,0.014404296875,6112.0,1069.0,213800000.0,56147902.5395143,3303296.004706132,1605.1261942072565,280.7395126975715,3.350887813312746,0.5860764189187379,200000.0,899.4146293396323,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000010,eval,validation,2020-07-15,-120.58535,36.224564,06019007903,0.0918493792414665,0.28466517149601234,0.6893,0.269184241069537,0.01802265788906079,high,0.0918493792414665,0.3889434337615967,0.7213637828826904,0.03466796875,6112.0,1069.0,213800000.0,57551590.74066701,3853244.2566811973,1645.25408141701,287.75795370333503,3.350887813312746,0.5860764189187379,200000.0,657.2751112668308,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000011,eval,validation,2020-07-15,-120.58535,36.188633,06019007903,0.0890737473964691,0.28458601823755525,0.6893,0.2677726791695011,0.01747316433955993,high,0.0890737473964691,0.3501088917255401,0.7164554595947266,0.0322265625,6112.0,1069.0,213800000.0,57249798.80643933,3735762.5357979136,1636.6266150839906,286.24899403219666,3.350887813312746,0.5860764189187379,200000.0,961.087758527406,0.6893
