sample_id,split,sample_date,start_day,sample_lon,sample_lat,source_file,record_index,GEOID,NAMELSAD,ALAND,AWATER,point_x_3310,point_y_3310,tract_match_method,tract_nearest_dist_m
eval_eval_ndws64_meta_000.tfrecord_00000000,eval,2020-07-11,192.0,-118.752792,34.347084,eval_ndws64_meta_000.tfrecord.gz,0,06111008502,Census Tract 85.02,45683554.0,27106.0,114713.18074077851,-406905.8482485791,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000001,eval,2020-07-14,195.0,-120.531456,36.152699,eval_ndws64_meta_000.tfrecord.gz,1,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47758.36825926666,-207015.47518608533,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000002,eval,2020-07-14,195.0,-120.522469,36.152699,eval_ndws64_meta_000.tfrecord.gz,2,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46950.77539480432,-207019.96397565864,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000003,eval,2020-07-14,195.0,-120.558403,36.143715,eval_ndws64_meta_000.tfrecord.gz,3,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50185.76577904684,-207999.8141502277,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000004,eval,2020-07-14,195.0,-120.531456,36.125748,eval_ndws64_meta_000.tfrecord.gz,4,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47775.155169007536,-210010.12676945562,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000005,eval,2020-07-15,196.0,-120.594337,36.206596,eval_ndws64_meta_000.tfrecord.gz,5,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53371.4462917033,-200993.0782576874,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000006,eval,2020-07-15,196.0,-120.522469,36.107784,eval_ndws64_meta_000.tfrecord.gz,6,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46978.278297623765,-212010.6588662858,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000007,eval,2020-07-15,196.0,-120.540436,36.206596,eval_ndws64_meta_000.tfrecord.gz,7,06019007903,Census Tract 79.03,1823994219.0,976972.0,-48531.19301110921,-201022.04534723377,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000008,eval,2020-07-15,196.0,-120.57637,36.188633,eval_ndws64_meta_000.tfrecord.gz,8,06019007903,Census Tract 79.03,1823994219.0,976972.0,-51770.16485472551,-202999.0464104009,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000009,eval,2020-07-15,196.0,-120.495522,36.107784,eval_ndws64_meta_000.tfrecord.gz,9,06019007903,Census Tract 79.03,1823994219.0,976972.0,-44555.33679332867,-212023.6669593542,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000010,eval,2020-07-15,196.0,-120.58535,36.224564,eval_ndws64_meta_000.tfrecord.gz,10,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52552.09719093411,-199001.5201509986,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000011,eval,2020-07-15,196.0,-120.58535,36.188633,eval_ndws64_meta_000.tfrecord.gz,11,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52576.74781122424,-202994.10468582856,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000012,eval,2020-07-15,196.0,-120.531456,36.197613,eval_ndws64_meta_000.tfrecord.gz,12,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47730.392260969405,-202024.77892986592,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000013,eval,2020-07-16,197.0,-120.567383,36.188633,eval_ndws64_meta_000.tfrecord.gz,13,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50962.952693740845,-203003.91550042806,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000014,eval,2020-07-16,197.0,-120.522469,36.089817,eval_ndws64_meta_000.tfrecord.gz,14,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46989.279889874546,-214007.01505440194,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000015,eval,2020-07-16,197.0,-120.594337,36.197613,eval_ndws64_meta_000.tfrecord.gz,15,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53377.70372228317,-201991.2493599439,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000016,eval,2020-07-16,197.0,-120.522469,36.107784,eval_ndws64_meta_000.tfrecord.gz,16,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46978.278297623765,-212010.6588662858,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000017,eval,2020-07-16,197.0,-120.540436,36.206596,eval_ndws64_meta_000.tfrecord.gz,17,06019007903,Census Tract 79.03,1823994219.0,976972.0,-48531.19301110921,-201022.04534723377,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000018,eval,2020-07-16,197.0,-120.58535,36.224564,eval_ndws64_meta_000.tfrecord.gz,18,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52552.09719093411,-199001.5201509986,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000019,eval,2020-07-16,197.0,-120.531456,36.197613,eval_ndws64_meta_000.tfrecord.gz,19,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47730.392260969405,-202024.77892986592,intersects,0.0
eval_eval_ndws64_meta_000.tfrecord_00000020,eval,2020-07-16,197.0,-120.594337,36.224564,eval_ndws64_meta_000.tfrecord.gz,20,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53358.92995352341,-198996.50044227624,intersects,0.0
